País,Cliques,Impressões,CTR,Posição
Brasil,232,91608,0.25%,7.56
Portugal,27,8499,0.32%,8.45
Angola,25,4593,0.54%,7.9
Moçambique,19,2248,0.85%,6.8
Cabo Verde,3,274,1.09%,7.48
Estados Unidos,1,1726,0.06%,8.78
França,1,154,0.65%,23.68
Alemanha,1,146,0.68%,16.75
Reino Unido,1,123,0.81%,18.8
Noruega,1,10,10%,13.3
Espanha,0,221,0%,46.18
Itália,0,167,0%,36.4
Canadá,0,121,0%,20.84
Japão,0,110,0%,28.45
Paraguai,0,107,0%,5.48
Países Baixos,0,90,0%,11.58
Guiné-Bissau,0,89,0%,6.51
Suíça,0,78,0%,7.97
Argentina,0,72,0%,23.22
Índia,0,52,0%,41.42
Indonésia,0,49,0%,58.39
México,0,47,0%,34.66
Timor-Leste,0,46,0%,5.85
São Tomé e Príncipe,0,43,0%,7.07
Bélgica,0,42,0%,6.98
Ucrânia,0,41,0%,34.54
Polônia,0,38,0%,29.13
Irlanda,0,33,0%,6.88
Chile,0,29,0%,17.28
Rússia,0,28,0%,21.68
Colômbia,0,28,0%,26.46
Austrália,0,28,0%,35.82
Luxemburgo,0,25,0%,9.56
Peru,0,24,0%,39.71
Arábia Saudita,0,23,0%,14.43
Uruguai,0,22,0%,11.5
Vietnã,0,21,0%,36.48
Israel,0,20,0%,11.45
Tailândia,0,20,0%,13.2
Iraque,0,20,0%,15.55
Bolívia,0,18,0%,4.83
África do Sul,0,18,0%,8.22
Áustria,0,17,0%,13.82
Filipinas,0,17,0%,40.41
Coréia do Sul,0,16,0%,47.25
Paquistão,0,14,0%,29.57
Marrocos,0,13,0%,20.31
Turquia,0,13,0%,24.31
Venezuela,0,13,0%,47.54
Emirados Árabes Unidos,0,11,0%,12.27
Suécia,0,11,0%,12.45
Equador,0,9,0%,15.56
Singapura,0,9,0%,20
Argélia,0,9,0%,25.11
Bangladesh,0,9,0%,42.44
Irã,0,8,0%,6.75
Dinamarca,0,8,0%,23.75
Egito,0,8,0%,33.25
República Tcheca,0,7,0%,8.71
Hungria,0,7,0%,20.71
China,0,6,0%,5.67
Taiwan,0,6,0%,7.67
Romênia,0,6,0%,11.67
Malásia,0,6,0%,38.67
Nova Zelândia,0,5,0%,4
Guatemala,0,5,0%,6.2
Croácia,0,5,0%,6.8
Albânia,0,5,0%,15.2
Costa Rica,0,4,0%,2
Mianmar (Birmânia),0,4,0%,3.75
Panamá,0,4,0%,4.75
Botsuana,0,4,0%,5.5
Quênia,0,4,0%,6.25
Síria,0,4,0%,7.5
Líbano,0,4,0%,9.75
República Dominicana,0,4,0%,18
Lituânia,0,4,0%,19.25
Grécia,0,4,0%,19.5
Islândia,0,3,0%,3.33
Suazilândia,0,3,0%,4.33
Gana,0,3,0%,6.67
Nigéria,0,3,0%,8
Barbados,0,3,0%,8.67
Tunísia,0,3,0%,11.67
Letônia,0,3,0%,22.67
Nepal,0,3,0%,23
Catar,0,3,0%,28.67
Finlândia,0,3,0%,30.33
Sérvia,0,3,0%,31.33
Uzbequistão,0,3,0%,32
Moldávia,0,3,0%,35.67
Hong Kong,0,3,0%,45
Barein,0,3,0%,51.33
Mauritânia,0,2,0%,1
Honduras,0,2,0%,2.5
Nicarágua,0,2,0%,3
Azerbaijão,0,2,0%,5
Macau,0,2,0%,5
Tanzânia,0,2,0%,5.5
Congo-Kinshasa,0,2,0%,6.5
Chipre,0,2,0%,6.5
Malta,0,2,0%,7.5
Groenlândia,0,2,0%,8
Guiana Francesa,0,2,0%,8
Cuba,0,2,0%,11
Costa do Marfim,0,2,0%,29
Martinica,0,2,0%,34.5
Maldivas,0,1,0%,1
Nauru,0,1,0%,1
Sudão,0,1,0%,1
Jamaica,0,1,0%,2
Trinidad e Tobago,0,1,0%,2
Eslovênia,0,1,0%,3
Armênia,0,1,0%,5
Guiana,0,1,0%,7
Kuwait,0,1,0%,8
Omã,0,1,0%,8
Cazaquistão,0,1,0%,10
Namíbia,0,1,0%,10
Bielorrússia,0,1,0%,12
Gabão,0,1,0%,12
Etiópia,0,1,0%,33
Congo-Brazzaville,0,1,0%,45
Jordânia,0,1,0%,49
Iêmen,0,1,0%,60
Camboja,0,1,0%,96
