Data,Não indexadas,Indexados,Impressões
2025-08-12,,,3452
2025-08-13,,,3043
2025-08-14,,,2354
2025-08-15,5672,2925,1882
2025-08-16,5751,2847,1607
2025-08-17,5751,2847,2261
2025-08-18,5751,2847,2614
2025-08-19,6172,2790,2463
2025-08-20,6172,2790,2296
2025-08-21,6172,2790,2157
2025-08-22,6172,2790,1698
2025-08-23,6364,2940,3089
2025-08-24,6364,2940,2603
2025-08-25,6364,2940,2640
2025-08-26,5393,2937,3146
2025-08-27,5393,2937,2705
2025-08-28,5393,2937,2446
2025-08-29,5393,2937,2068
2025-08-30,4714,2935,1882
2025-08-31,4714,2935,2732
2025-09-01,4714,2935,2930
2025-09-02,3964,2943,2716
2025-09-03,3964,2943,2554
2025-09-04,3964,2943,2296
2025-09-05,3964,2943,1765
2025-09-06,3798,2944,1829
2025-09-07,3798,2944,2560
2025-09-08,3798,2944,2715
2025-09-09,3827,2915,2400
2025-09-10,3827,2915,2158
2025-09-11,3827,2915,1950
2025-09-12,3827,2915,1212
2025-09-13,3927,2814,1355
2025-09-14,3927,2814,2146
2025-09-15,3927,2814,2008
2025-09-16,3961,2780,2250
2025-09-17,3961,2780,2170
2025-09-18,3961,2780,1708
2025-09-19,3961,2780,1061
2025-09-20,4084,2656,1201
2025-09-21,4084,2656,1888
2025-09-22,4084,2656,1934
2025-09-23,4483,2256,1968
2025-09-24,4483,2256,1936
2025-09-25,4483,2256,1680
2025-09-26,4483,2256,1269
2025-09-27,4591,2162,1254
2025-09-28,4591,2162,2146
2025-09-29,4591,2162,2178
2025-09-30,4643,2124,2638
2025-10-01,4643,2124,2590
2025-10-02,4643,2124,2423
2025-10-03,4643,2124,1948
2025-10-04,4666,2100,1784
2025-10-05,4666,2100,2859
2025-10-06,4666,2100,3098
2025-10-07,4686,2082,3104
2025-10-08,4686,2082,3208
2025-10-09,4686,2082,2915
2025-10-10,4686,2082,2034
2025-10-11,4707,2061,2179
2025-10-12,4707,2061,3450
2025-10-13,4707,2061,3812
2025-10-14,4718,2044,3203
2025-10-15,4718,2044,3748
2025-10-16,4718,2044,3224
2025-10-17,4718,2044,2369
2025-10-18,4811,1944,2260
2025-10-19,4811,1944,3822
2025-10-20,4811,1944,3831
2025-10-21,5108,1617,3981
2025-10-22,5108,1617,4199
2025-10-23,5108,1617,3505
2025-10-24,5108,1617,2589
2025-10-25,5185,1524,2896
2025-10-26,5185,1524,4454
2025-10-27,5185,1524,4298
2025-10-28,5227,1448,4594
2025-10-29,5227,1448,4761
2025-10-30,5227,1448,5601
2025-10-31,5227,1448,3454
2025-11-01,5274,1396,3909
2025-11-02,5274,1396,5756
2025-11-03,5274,1396,5618
2025-11-04,5280,1395,5272
2025-11-05,5280,1395,5200
2025-11-06,5280,1395,4785
2025-11-07,5280,1395,3492
